"Id","ExpectedTask","TopTask","TopTarget","TopSemanticScore","TopKeywordScore","TopFinalScore","SecondTask","SecondFinalScore","Margin","Status","ReasonCode","TopPassed","AcceptedAndPassed","LatencyMs","Question","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","GENERAL","general","0.619612663235188","1","0.67667076374991","MATH","0.510129667456204","0.166541096293706","ROUTED","ACCEPTED","True","True","722","请用通俗的方式说明为什么海水是咸的。","","localhost","e5bbb3ae-f242-4cbe-b1db-c912ce636324","False","cc8a1b88-2bb0-48e7-9ebc-080061e6b9c1"
"2","GENERAL","GENERAL","general","0.699243614695027","0","0.699243614695027","CODING","0.522311814377451","0.176931800317576","ROUTED","ACCEPTED","True","True","922","人工智能和传统自动化程序最核心的区别是什么？","","localhost","f71d95c7-2976-41a3-a15e-3cd94e963e99","False","e257a6ce-c2c3-4772-9688-927fdef5adae"
"3","GENERAL","GENERAL","general","0.570293170444745","0","0.570293170444745","LITERARY","0.546538415402846","0.0237547550418999","ROUTED","ACCEPTED","True","True","946","比较纸质书与电子书各自的优缺点。","","localhost","a7e43c02-64d0-4281-a7f9-66b961207495","False","f39b02ca-8e2d-4fe2-ae0b-fe9f4c55bea9"
"4","GENERAL","GENERAL","general","0.617314784312327","1","0.674717566665478","DAILY","0.528326351403648","0.14639121526183","ROUTED","ACCEPTED","True","True","933","为什么人在紧张时会感觉心跳加快？","","localhost","e99d24a5-005c-422f-94b7-a10b2b09553b","False","507e74b6-eeed-44a0-9dee-2b659ca7b254"
"5","GENERAL","GENERAL","general","0.572421196422023","0","0.572421196422023","LITERARY","0.466280978291732","0.106140218130291","ROUTED","ACCEPTED","True","True","788","请概括互联网从诞生到普及的大致过程。","","localhost","e5bbb3ae-f242-4cbe-b1db-c912ce636324","False","cc8a1b88-2bb0-48e7-9ebc-080061e6b9c1"
"6","GENERAL","GENERAL","general","0.570409316328426","1","0.634847918879162","DAILY","0.524478464727002","0.11036945415216","ROUTED","ACCEPTED","True","True","758","如果要向小学生介绍区块链，你会怎么说？","","localhost","f71d95c7-2976-41a3-a15e-3cd94e963e99","False","e257a6ce-c2c3-4772-9688-927fdef5adae"
"7","GENERAL","GENERAL","general","0.597928638647013","0","0.597928638647013","DAILY","0.584308362035829","0.0136202766111839","ROUTED","ACCEPTED","True","True","774","分析远程办公对个人生活可能产生的影响。","","localhost","a7e43c02-64d0-4281-a7f9-66b961207495","False","f39b02ca-8e2d-4fe2-ae0b-fe9f4c55bea9"
"8","GENERAL","GENERAL","general","0.598572354040521","0","0.598572354040521","CODING","0.576796563172229","0.0217757908682918","ROUTED","ACCEPTED","True","True","943","如何判断一条网络信息是否值得相信？","","localhost","e99d24a5-005c-422f-94b7-a10b2b09553b","False","507e74b6-eeed-44a0-9dee-2b659ca7b254"
"9","GENERAL","GENERAL","general","0.463868655272049","1","0.544288356981241","LITERARY","0.441216431662658","0.103071925318583","ROUTED","ACCEPTED","True","True","789","请用三句话总结可持续发展的含义。","","localhost","e5bbb3ae-f242-4cbe-b1db-c912ce636324","False","cc8a1b88-2bb0-48e7-9ebc-080061e6b9c1"
"10","GENERAL","DAILY","general","0.526018258271819","0","0.526018258271819","GENERAL","0.488067722484881","0.0379505357869382","ROUTED","ACCEPTED","False","False","801","初次参加正式面试时应该注意哪些基本礼仪？","","localhost","f71d95c7-2976-41a3-a15e-3cd94e963e99","False","e257a6ce-c2c3-4772-9688-927fdef5adae"
