"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0.79","False","True","True","881","请用通俗的方式说明为什么海水是咸的。","Semantic router selected GENERAL with score 0.68, margin 0.17 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","897afb1b-8ba1-4d6e-88f2-54c2a95901ac","False","7e8b3699-b54a-497d-ac15-e7adab3f3da8"
"2","GENERAL","general","GENERAL","general","0.8","False","True","True","929","人工智能和传统自动化程序最核心的区别是什么？","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","f462f44f-9855-4e4a-a96a-989a72b2098c","False","128a410b-6bfc-4ea8-9065-f9e0296e3290"
"3","GENERAL","general","GENERAL","general","0.71","False","True","True","999","比较纸质书与电子书各自的优缺点。","Semantic router selected GENERAL with score 0.57, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","45a7cb38-9ce8-4329-96ed-be0cd29f23e3","False","f70e4ead-ac14-4a57-bd7d-cd3940ec2c37"
"4","GENERAL","general","GENERAL","general","0.78","False","True","True","1287","为什么人在紧张时会感觉心跳加快？","Semantic router selected GENERAL with score 0.67, margin 0.15 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","9cf5e2d3-ceca-4a51-b4bd-21106f7a2484","False","85c49a08-a0fe-4679-8cf7-d2e44c2f54fd"
"5","GENERAL","general","GENERAL","general","0.73","False","True","True","742","请概括互联网从诞生到普及的大致过程。","Semantic router selected GENERAL with score 0.57, margin 0.11 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","897afb1b-8ba1-4d6e-88f2-54c2a95901ac","False","7e8b3699-b54a-497d-ac15-e7adab3f3da8"
"6","GENERAL","general","GENERAL","general","0.76","False","True","True","805","如果要向小学生介绍区块链，你会怎么说？","Semantic router selected GENERAL with score 0.63, margin 0.11 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","f462f44f-9855-4e4a-a96a-989a72b2098c","False","128a410b-6bfc-4ea8-9065-f9e0296e3290"
"7","GENERAL","general","GENERAL","general","0.71","False","True","True","953","分析远程办公对个人生活可能产生的影响。","Semantic router selected GENERAL with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","45a7cb38-9ce8-4329-96ed-be0cd29f23e3","False","f70e4ead-ac14-4a57-bd7d-cd3940ec2c37"
"8","GENERAL","general","GENERAL","general","0.72","False","True","True","1319","如何判断一条网络信息是否值得相信？","Semantic router selected GENERAL with score 0.6, margin 0.02 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","9cf5e2d3-ceca-4a51-b4bd-21106f7a2484","False","85c49a08-a0fe-4679-8cf7-d2e44c2f54fd"
"9","GENERAL","general","GENERAL","general","0.72","False","True","True","1343","请用三句话总结可持续发展的含义。","Semantic router selected GENERAL with score 0.54, margin 0.1 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","897afb1b-8ba1-4d6e-88f2-54c2a95901ac","False","7e8b3699-b54a-497d-ac15-e7adab3f3da8"
"10","GENERAL","general","DAILY","general","0.7","False","True","False","1240","初次参加正式面试时应该注意哪些基本礼仪？","Semantic router selected DAILY with score 0.53, margin 0.04 and confidence 0.7; status=ROUTED, reason=ACCEPTED.","","localhost","f462f44f-9855-4e4a-a96a-989a72b2098c","False","128a410b-6bfc-4ea8-9065-f9e0296e3290"
