"Id","ExpectedTask","TopTask","TopTarget","TopSemanticScore","TopKeywordScore","TopFinalScore","SecondTask","SecondFinalScore","Margin","Status","ReasonCode","TopPassed","AcceptedAndPassed","LatencyMs","Question","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","GENERAL","general","0.619612663235188","1","0.67667076374991","LITERARY","0.501255606282344","0.175415157467566","ROUTED","ACCEPTED","True","True","1236","请用通俗的方式说明为什么海水是咸的。","","localhost","806c8e79-3a33-40ac-8a85-55a54d07075e","False","50a0c6da-51bc-43a6-8d5d-35b0bd93db58"
"2","GENERAL","GENERAL","general","0.699243614695027","0","0.699243614695027","CODING","0.515805630279471","0.183437984415556","ROUTED","ACCEPTED","True","True","985","人工智能和传统自动化程序最核心的区别是什么？","","localhost","6ca8aa5c-f4fc-4506-a3c3-e3e782c01d75","False","48dba584-5271-4282-a022-520091366895"
"3","GENERAL","GENERAL","general","0.570293170444745","0","0.570293170444745","LITERARY","0.546538415402846","0.0237547550418999","ROUTED","ACCEPTED","True","True","1366","比较纸质书与电子书各自的优缺点。","","localhost","16522274-7229-409f-b1a8-c4e8cba832cf","False","dd28d6c3-7efd-4d6d-8595-24b6daa590a2"
"4","GENERAL","GENERAL","general","0.617314784312327","1","0.674717566665478","DAILY","0.528326351403648","0.14639121526183","ROUTED","ACCEPTED","True","True","1261","为什么人在紧张时会感觉心跳加快？","","localhost","03ac3c81-3e3e-4295-b277-dd7c705d98f3","False","56e6abed-86a9-4407-9603-6759490682c6"
"5","GENERAL","GENERAL","general","0.52014147083306","0","0.52014147083306","CODING","0.431188536542848","0.0889529342902116","ROUTED","ACCEPTED","True","True","1370","请概括互联网从诞生到普及的大致过程。","","localhost","e5d42a57-287b-47f0-9ce6-bcdad925d2bf","False","1aca52a2-8840-49bf-9a18-f41f5587b570"
"6","GENERAL","GENERAL","general","0.524109297608543","1","0.595492902967262","DAILY","0.524478464727002","0.07101443824026","ROUTED","ACCEPTED","True","True","1601","如果要向小学生介绍区块链，你会怎么说？","","localhost","f8a71b5c-f0b1-497c-b725-2ad94708d5db","False","d3a016f4-809a-48b0-9fc7-07725dd7b592"
"7","GENERAL","GENERAL","general","0.597928638647013","0","0.597928638647013","DAILY","0.584308362035829","0.0136202766111839","ROUTED","ACCEPTED","True","True","920","分析远程办公对个人生活可能产生的影响。","","localhost","806c8e79-3a33-40ac-8a85-55a54d07075e","False","50a0c6da-51bc-43a6-8d5d-35b0bd93db58"
"8","GENERAL","GENERAL","general","0.558996320593622","0","0.558996320593622","CODING","0.541600362316089","0.0173959582775325","ROUTED","ACCEPTED","True","True","941","如何判断一条网络信息是否值得相信？","","localhost","6ca8aa5c-f4fc-4506-a3c3-e3e782c01d75","False","48dba584-5271-4282-a022-520091366895"
"9","GENERAL","GENERAL","general","0.450390234407023","1","0.53283169924597","LITERARY","0.441216431662658","0.0916152675833112","ROUTED","ACCEPTED","True","True","926","请用三句话总结可持续发展的含义。","","localhost","16522274-7229-409f-b1a8-c4e8cba832cf","False","dd28d6c3-7efd-4d6d-8595-24b6daa590a2"
"10","GENERAL","DAILY","general","0.526018258271819","0","0.526018258271819","GENERAL","0.483467069337402","0.0425511889344174","ROUTED","ACCEPTED","False","False","998","初次参加正式面试时应该注意哪些基本礼仪？","","localhost","03ac3c81-3e3e-4295-b277-dd7c705d98f3","False","56e6abed-86a9-4407-9603-6759490682c6"
"11","GENERAL","GENERAL","general","0.599499367454115","1","0.659574462335998","DAILY","0.590517436451391","0.0690570258846067","ROUTED","ACCEPTED","True","True","1031","为什么良好的睡眠会影响第二天的注意力？","","localhost","e5d42a57-287b-47f0-9ce6-bcdad925d2bf","False","1aca52a2-8840-49bf-9a18-f41f5587b570"
"12","GENERAL","CODING","coding","0.598852383209591","0","0.598852383209591","GENERAL","0.555091590979922","0.0437607922296683","ROUTED","ACCEPTED","False","False","1527","请说明开源软件通常是怎样运作的。","","localhost","f8a71b5c-f0b1-497c-b725-2ad94708d5db","False","d3a016f4-809a-48b0-9fc7-07725dd7b592"
"13","GENERAL","GENERAL","general","0.588488928225427","1","0.650215588991613","DAILY","0.572938950673368","0.0772766383182449","ROUTED","ACCEPTED","True","True","1291","给一个刚进入大学的新生三条适应建议。","","localhost","806c8e79-3a33-40ac-8a85-55a54d07075e","False","50a0c6da-51bc-43a6-8d5d-35b0bd93db58"
"14","GENERAL","GENERAL","general","0.529541849757999","0","0.529541849757999","DAILY","0.505449080852461","0.0240927689055381","ROUTED","ACCEPTED","True","True","1311","太阳能和风能分别适合什么样的使用场景？","","localhost","6ca8aa5c-f4fc-4506-a3c3-e3e782c01d75","False","48dba584-5271-4282-a022-520091366895"
"15","GENERAL","GENERAL","general","0.627522801805896","1","0.683394381535012","LITERARY","0.560137493616718","0.123256887918294","ROUTED","ACCEPTED","True","True","1138","为什么同一件事情会被不同的人理解成不同含义？","","localhost","16522274-7229-409f-b1a8-c4e8cba832cf","False","dd28d6c3-7efd-4d6d-8595-24b6daa590a2"
"16","GENERAL","GENERAL","general","0.577684570116974","0","0.577684570116974","DAILY","0.548701715982045","0.0289828541349284","ROUTED","ACCEPTED","True","True","1058","请梳理一次有效沟通通常包含哪些环节。","","localhost","03ac3c81-3e3e-4295-b277-dd7c705d98f3","False","56e6abed-86a9-4407-9603-6759490682c6"
"17","GENERAL","GENERAL","general","0.660106590493281","0","0.660106590493281","DAILY","0.593600178941929","0.0665064115513518","ROUTED","ACCEPTED","True","True","1366","面对两个都不错的选择时，可以怎样做决定？","","localhost","e5d42a57-287b-47f0-9ce6-bcdad925d2bf","False","1aca52a2-8840-49bf-9a18-f41f5587b570"
