"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0.79","False","True","True","927","请用通俗的方式说明为什么海水是咸的。","Semantic router selected GENERAL with score 0.68, margin 0.17 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"2","GENERAL","general","GENERAL","general","0.79","False","True","True","900","人工智能和传统自动化程序最核心的区别是什么？","Semantic router selected GENERAL with score 0.7, margin 0.13 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"3","GENERAL","general","GENERAL","general","0.71","False","True","True","1376","比较纸质书与电子书各自的优缺点。","Semantic router selected GENERAL with score 0.57, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"4","GENERAL","general","GENERAL","general","0.78","False","True","True","1057","为什么人在紧张时会感觉心跳加快？","Semantic router selected GENERAL with score 0.67, margin 0.15 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"5","GENERAL","general","GENERAL","general","0.73","False","True","True","704","请概括互联网从诞生到普及的大致过程。","Semantic router selected GENERAL with score 0.57, margin 0.11 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"6","GENERAL","general","GENERAL","general","0.75","False","True","True","786","如果要向小学生介绍区块链，你会怎么说？","Semantic router selected GENERAL with score 0.63, margin 0.08 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"7","GENERAL","general","GENERAL","general","0.71","False","True","True","1152","分析远程办公对个人生活可能产生的影响。","Semantic router selected GENERAL with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"8","GENERAL","general","GENERAL","general","0.77","False","True","True","933","如何判断一条网络信息是否值得相信？","Semantic router selected GENERAL with score 0.69, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"9","GENERAL","general","GENERAL","general","0.74","False","True","True","1098","请用三句话总结可持续发展的含义。","Semantic router selected GENERAL with score 0.57, margin 0.13 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"10","GENERAL","general","DAILY","general","0.68","False","True","False","1065","初次参加正式面试时应该注意哪些基本礼仪？","Semantic router selected DAILY with score 0.53, margin 0.0 and confidence 0.68; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"11","GENERAL","general","GENERAL","general","0.75","False","True","True","874","为什么良好的睡眠会影响第二天的注意力？","Semantic router selected GENERAL with score 0.66, margin 0.07 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"12","GENERAL","general","CODING","coding","0.71","False","True","False","908","请说明开源软件通常是怎样运作的。","Semantic router selected CODING with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"13","GENERAL","general","GENERAL","general","0.75","False","True","True","972","给一个刚进入大学的新生三条适应建议。","Semantic router selected GENERAL with score 0.65, margin 0.08 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"14","GENERAL","general","GENERAL","general","0.69","False","True","True","922","太阳能和风能分别适合什么样的使用场景？","Semantic router selected GENERAL with score 0.53, margin 0.02 and confidence 0.69; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"15","GENERAL","general","GENERAL","general","0.78","False","True","True","710","为什么同一件事情会被不同的人理解成不同含义？","Semantic router selected GENERAL with score 0.68, margin 0.12 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"16","GENERAL","general","DAILY","general","0.72","False","True","False","835","请梳理一次有效沟通通常包含哪些环节。","Semantic router selected DAILY with score 0.61, margin 0.03 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"17","GENERAL","general","GENERAL","general","0.75","False","True","True","820","面对两个都不错的选择时，可以怎样做决定？","Semantic router selected GENERAL with score 0.66, margin 0.07 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"18","GENERAL","general","GENERAL","general","0.73","False","True","True","749","用一个生活中的例子解释什么叫机会成本。","Semantic router selected GENERAL with score 0.62, margin 0.05 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"19","GENERAL","general","GENERAL","general","0.71","False","True","True","999","请客观评价短视频对知识获取的影响。","Semantic router selected GENERAL with score 0.57, margin 0.03 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"20","GENERAL","general","GENERAL","general","0.73","False","True","True","836","如果只能保留一个好习惯，你认为哪个最值得保留？","Semantic router selected GENERAL with score 0.61, margin 0.06 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"21","DAILY","general","DAILY","general","0.86","False","True","True","864","我明天上午有三门课，下午还要完成作业，怎样安排比较合理？","Semantic router selected DAILY with score 0.83, margin 0.23 and confidence 0.86; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"22","DAILY","general","DAILY","general","0.77","False","True","True","808","帮我把买菜、取快递、洗衣服和复习英语排出先后顺序。","Semantic router selected DAILY with score 0.68, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"23","DAILY","general","DAILY","general","0.78","False","True","True","807","我总是在睡前刷手机到很晚，怎样逐步调整作息？","Semantic router selected DAILY with score 0.71, margin 0.1 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
