"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0.79","False","True","True","795","请用通俗的方式说明为什么海水是咸的。","Semantic router selected GENERAL with score 0.68, margin 0.18 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","c7af7dbb-c70b-4815-8ce3-7c6c612998a0","False","bbae0357-f854-452a-9146-88d2758b63fb"
"2","GENERAL","general","GENERAL","general","0.8","False","True","True","964","人工智能和传统自动化程序最核心的区别是什么？","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","b43a3e76-b4b2-4cfe-9546-4246221f7692","False","fb5acc65-f727-4ef7-9302-40d2313f0aba"
"3","GENERAL","general","GENERAL","general","0.71","False","True","True","1318","比较纸质书与电子书各自的优缺点。","Semantic router selected GENERAL with score 0.57, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","380d7b1b-fdcc-4465-8225-706563a7676d","False","acaf4f8c-770a-434c-ac68-88ce10b97a8a"
"4","GENERAL","general","GENERAL","general","0.78","False","True","True","1380","为什么人在紧张时会感觉心跳加快？","Semantic router selected GENERAL with score 0.67, margin 0.15 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","241753cb-0939-43e2-b208-eb765eebd8a4","False","8eae3079-df73-4bc0-a506-d3621af3c59b"
"5","GENERAL","general","GENERAL","general","0.71","False","True","True","1025","请概括互联网从诞生到普及的大致过程。","Semantic router selected GENERAL with score 0.52, margin 0.09 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","cba62a29-dc2b-48c8-8dc0-60be813f46ea","False","87ae4108-ff45-40bc-9aa0-436e3f82136e"
"6","GENERAL","general","GENERAL","general","0.73","False","True","True","1336","如果要向小学生介绍区块链，你会怎么说？","Semantic router selected GENERAL with score 0.6, margin 0.07 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","c4393a35-3ded-471e-b143-ccca61f9635a","False","a24a07c9-0cd6-49cc-ae30-7a1627272891"
"7","GENERAL","general","GENERAL","general","0.71","False","True","True","748","分析远程办公对个人生活可能产生的影响。","Semantic router selected GENERAL with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","c7af7dbb-c70b-4815-8ce3-7c6c612998a0","False","bbae0357-f854-452a-9146-88d2758b63fb"
"8","GENERAL","general","GENERAL","general","0.7","False","True","True","1180","如何判断一条网络信息是否值得相信？","Semantic router selected GENERAL with score 0.56, margin 0.02 and confidence 0.7; status=ROUTED, reason=ACCEPTED.","","localhost","b43a3e76-b4b2-4cfe-9546-4246221f7692","False","fb5acc65-f727-4ef7-9302-40d2313f0aba"
"9","GENERAL","general","GENERAL","general","0.71","False","True","True","990","请用三句话总结可持续发展的含义。","Semantic router selected GENERAL with score 0.53, margin 0.09 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","380d7b1b-fdcc-4465-8225-706563a7676d","False","acaf4f8c-770a-434c-ac68-88ce10b97a8a"
"10","GENERAL","general","DAILY","general","0.7","False","True","False","1403","初次参加正式面试时应该注意哪些基本礼仪？","Semantic router selected DAILY with score 0.53, margin 0.04 and confidence 0.7; status=ROUTED, reason=ACCEPTED.","","localhost","241753cb-0939-43e2-b208-eb765eebd8a4","False","8eae3079-df73-4bc0-a506-d3621af3c59b"
"11","GENERAL","general","GENERAL","general","0.75","False","True","True","1053","为什么良好的睡眠会影响第二天的注意力？","Semantic router selected GENERAL with score 0.66, margin 0.07 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","cba62a29-dc2b-48c8-8dc0-60be813f46ea","False","87ae4108-ff45-40bc-9aa0-436e3f82136e"
"12","GENERAL","general","CODING","coding","0.72","False","True","False","961","请说明开源软件通常是怎样运作的。","Semantic router selected CODING with score 0.6, margin 0.04 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","c4393a35-3ded-471e-b143-ccca61f9635a","False","a24a07c9-0cd6-49cc-ae30-7a1627272891"
"13","GENERAL","general","GENERAL","general","0.75","False","True","True","1144","给一个刚进入大学的新生三条适应建议。","Semantic router selected GENERAL with score 0.65, margin 0.08 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","c7af7dbb-c70b-4815-8ce3-7c6c612998a0","False","bbae0357-f854-452a-9146-88d2758b63fb"
"14","GENERAL","general","GENERAL","general","0.69","False","True","True","882","太阳能和风能分别适合什么样的使用场景？","Semantic router selected GENERAL with score 0.53, margin 0.02 and confidence 0.69; status=ROUTED, reason=ACCEPTED.","","localhost","b43a3e76-b4b2-4cfe-9546-4246221f7692","False","fb5acc65-f727-4ef7-9302-40d2313f0aba"
"15","GENERAL","general","GENERAL","general","0.78","False","True","True","1265","为什么同一件事情会被不同的人理解成不同含义？","Semantic router selected GENERAL with score 0.68, margin 0.12 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","380d7b1b-fdcc-4465-8225-706563a7676d","False","acaf4f8c-770a-434c-ac68-88ce10b97a8a"
"16","GENERAL","general","GENERAL","general","0.71","False","True","True","1159","请梳理一次有效沟通通常包含哪些环节。","Semantic router selected GENERAL with score 0.58, margin 0.03 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","241753cb-0939-43e2-b208-eb765eebd8a4","False","8eae3079-df73-4bc0-a506-d3621af3c59b"
"17","GENERAL","general","GENERAL","general","0.75","False","True","True","2080","面对两个都不错的选择时，可以怎样做决定？","Semantic router selected GENERAL with score 0.66, margin 0.07 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","cba62a29-dc2b-48c8-8dc0-60be813f46ea","False","87ae4108-ff45-40bc-9aa0-436e3f82136e"
"18","GENERAL","general","GENERAL","general","0.73","False","True","True","1168","用一个生活中的例子解释什么叫机会成本。","Semantic router selected GENERAL with score 0.62, margin 0.05 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","c4393a35-3ded-471e-b143-ccca61f9635a","False","a24a07c9-0cd6-49cc-ae30-7a1627272891"
"19","GENERAL","general","GENERAL","general","0.69","False","True","True","993","请客观评价短视频对知识获取的影响。","Semantic router selected GENERAL with score 0.55, margin 0.01 and confidence 0.69; status=ROUTED, reason=ACCEPTED.","","localhost","c7af7dbb-c70b-4815-8ce3-7c6c612998a0","False","bbae0357-f854-452a-9146-88d2758b63fb"
"20","GENERAL","general","DAILY","general","0.71","False","True","False","1159","如果只能保留一个好习惯，你认为哪个最值得保留？","Semantic router selected DAILY with score 0.56, margin 0.06 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","b43a3e76-b4b2-4cfe-9546-4246221f7692","False","fb5acc65-f727-4ef7-9302-40d2313f0aba"
