"Id","Expected","Current","TopRoute","TopScore","MappedRoute","MappedScore","FollowupScore","MappedMinusFollowup","Passed","Question"
"C01","CODING","CODING","followup","0.8620203480920083","daily","0.7388458491053675","0.8620203480920083","-0.1231744989866408","True","所以你有什么排查规划？"
"C02","CODING","CODING","followup","0.7288911955590371","daily","0.636725487062767","0.7288911955590371","-0.0921657084962701","True","给出最小改动。"
"C03","CODING","CODING","followup","0.873172087845117","general","0.7413194648108195","0.873172087845117","-0.1318526230342975","True","精简描述。"
"C04","CODING","CODING","followup","0.9682525036094144","general","0.6570898876226218","0.9682525036094144","-0.3111626159867926","True","继续说下去。"
"C05","LITERARY","LITERARY","followup","0.8053973838164372","daily","0.7167778309042667","0.8053973838164372","-0.0886195529121705","True","改得更克制一点。"
"C06","LITERARY","LITERARY","followup","0.9291665086891815","general","0.7947650532879434","0.9291665086891815","-0.1344014554012381","True","用一句话概括。"
"C07","LITERARY","LITERARY","followup","0.8212825661478416","general","0.6369155959320059","0.8212825661478416","-0.1843669702158357","True","再短一点。"
"C08","LITERARY","LITERARY","followup","0.9729229919423931","general","0.5766178073350112","0.9729229919423931","-0.3963051846073819","True","然后呢？"
"C09","MATH","MATH","followup","0.8666850785637789","general","0.710196746183806","0.8666850785637789","-0.1564883323799729","True","为什么是这个结果？"
"C10","MATH","MATH","followup","0.7628533123260411","general","0.6754218294435247","0.7628533123260411","-0.0874314828825164","True","换一种方法说明。"
"C11","MATH","MATH","followup","0.650682633206033","literary","0.6051140601734706","0.650682633206033","-0.0455685730325624","True","只保留最终结果。"
"C12","MATH","MATH","math","0.7511398753030961","math","0.7511398753030961","0.7362991310671045","0.0148407442359916","True","精简证明过程。"
"C13","DAILY","DAILY","daily","0.8349080812971671","daily","0.8349080812971671","0.7678604881009137","0.0670475931962534","True","调整得轻松一点。"
"C14","DAILY","DAILY","followup","0.7574934067481418","general","0.7229675589142981","0.7574934067481418","-0.0345258478338437","True","再补充两个事项。"
"C15","DAILY","DAILY","followup","0.7543970266290448","daily","0.6486690947992497","0.7543970266290448","-0.1057279318297951","True","所以先做什么？"
"C16","DAILY","DAILY","followup","0.8282617890181474","general","0.7319271151202623","0.8282617890181474","-0.0963346738978851","True","简单一点。"
"C17","GENERAL","GENERAL","general","0.7532692085363542","general","0.7532692085363542","0.700075573325944","0.0531936352104102","True","举个更简单的例子。"
"C18","GENERAL","LITERARY","followup","0.8640370210961412","general","0.7955341145963647","0.8640370210961412","-0.0685029064997765","False","总结成一句话。"
"C19","LITERARY","LITERARY","literary","0.6056255373919712","literary","0.6056255373919712","0","1","True","现在换个任务，写一首关于程序员的诗。"
"C20","GENERAL","GENERAL","general","0.8820819184325357","general","0.8820819184325357","0","1","True","现在不要续写，解释人工智能是什么。"
"C21","CODING","CODING","followup","0.7378116916983101","general","0.6403019228859572","0.7378116916983101","-0.0975097688123529","True","再给一个更简单的修复方法。"
"C22","CODING","CODING","followup","0.7221764547900458","general","0.6018125287992461","0.7221764547900458","-0.1203639259907997","True","把上面的设计压缩成三点。"
"C23","DAILY","DAILY","daily","0.8393364890722689","daily","0.8393364890722689","0","1","True","现在换个话题，安排我今晚的复习。"
"C24","GENERAL","GENERAL","general","0.7257164344674719","general","0.7257164344674719","0","1","True","不继续技术问题了，为什么人容易拖延？"
"C25","LITERARY","LITERARY","literary","0.7655455827397882","literary","0.7655455827397882","0.719404780311112","0.0461408024286762","True","把这个主题写成一句幽默文案。"
"C26","MATH","MATH","math","0.7721608295523941","math","0.7721608295523941","0","1","True","不要写代码，按每秒八十次计算五分钟总量。"
"C27","LITERARY","LITERARY","literary","0.7741892526625588","literary","0.7741892526625588","0.6778977975882053","0.0962914550743535","True","让语气更含蓄。"
"C28","LITERARY","LITERARY","followup","0.8196758864010321","general","0.7244360533013543","0.8196758864010321","-0.0952398330996778","True","继续分析刚才那个细节。"
"C29","CODING","CODING","coding","0.7276492658993502","coding","0.7276492658993502","0.5704054891865348","0.1572437767128154","True","现在设计存储这些文案的数据库表。"
"C30","GENERAL","GENERAL","general","0.8480402802309609","general","0.8480402802309609","0","1","True","不再创作，请解释时间管理为什么困难。"
"C31","DAILY","DAILY","daily","0.7576735188269412","daily","0.7576735188269412","0.6887336482825371","0.0689398705444041","True","帮我安排今晚写完它的步骤。"
"C32","MATH","LITERARY","literary","0.5546370970186405","literary","0.5546370970186405","0.5216272012644425","0.0330098957541980","False","其中提到三个人两两交谈，一共有几组？"
"C33","MATH","MATH","followup","0.7896640222826484","math","0.707863233297021","0.7896640222826484","-0.0818007889856274","True","把推导过程再精简一点。"
"C34","MATH","MATH","followup","0.7460249730596011","general","0.7005376002134774","0.7460249730596011","-0.0454873728461237","True","为什么要这样算？"
"C35","CODING","CODING","coding","0.789405920502132","coding","0.789405920502132","0.6801056636106247","0.1093002568915073","True","请写 Java 函数自动完成这个计算。"
"C36","DAILY","MATH","followup","0.7158847686274681","daily","0.7153287440874722","0.7158847686274681","-0.0005560245399959","False","好的，按这个结果安排每天阅读时间。"
"C37","GENERAL","GENERAL","general","0.624376039381732","general","0.624376039381732","0","1","True","不继续算了，请客观解释机会成本。"
"C38","LITERARY","LITERARY","literary","0.6704846775083486","literary","0.6704846775083486","0.6535928025761609","0.0168918749321877","True","用这个结果写一句关于选择的诗。"
"C39","DAILY","DAILY","daily","0.7804986453315591","daily","0.7804986453315591","0.7236367997093004","0.0568618456222587","True","再轻松一点。"
"C40","CODING","CODING","coding","0.8925454683745399","coding","0.8925454683745399","0.562420449215118","0.3301250191594219","True","把清单做成后端 JSON 数据结构。"
"C41","GENERAL","LITERARY","literary","0.590942636476553","literary","0.590942636476553","0","1","False","不要日程了，评价长期阅读的价值。"
"C42","LITERARY","LITERARY","literary","0.674400183381085","literary","0.674400183381085","0.5204726772618048","0.1539275061192802","True","以忙碌的今晚为题写两句短诗。"
"C43","MATH","DAILY","daily","0.6452046563793629","daily","0.6452046563793629","0.5800847123531214","0.0651199440262415","False","一周总共能处理多少条？"
"C44","GENERAL","GENERAL","general","0.7474491956873209","general","0.7474491956873209","0.6760871008755581","0.0713620948117628","True","用一个更生活化的例子说明。"
"C45","GENERAL","GENERAL","followup","0.757146572252128","literary","0.6491800761836446","0.757146572252128","-0.1079664960684834","True","继续，但控制在两句话。"
"C46","CODING","CODING","coding","0.7116792172620499","coding","0.7116792172620499","0","1","True","设计一个保护隐私的用户接口。"
"C47","DAILY","DAILY","daily","0.748872169335071","daily","0.748872169335071","0.6300074240005078","0.1188647453345632","True","根据这些原则安排我的睡前流程。"
"C48","LITERARY","LITERARY","literary","0.7799924736237097","literary","0.7799924736237097","0.6045822001652162","0.1754102734584935","True","把它写成有氛围感的场景。"
"C49","MATH","MATH","math","0.7482254616229006","math","0.7482254616229006","0.510054719965222","0.2381707416576786","True","若成功率八成，独立尝试两次都失败的概率是多少？"
"C50","CODING","CODING","followup","0.6589921175380812","general","0.572733293436604","0.6589921175380812","-0.0862588241014772","True","继续刚才的排查，但忽略后面引用的“写诗”两个字。"
