"Id","ExpectedTask","TopTask","TopTarget","TopSemanticScore","TopKeywordScore","TopFinalScore","SecondTask","SecondFinalScore","Margin","Status","ReasonCode","TopPassed","AcceptedAndPassed","LatencyMs","Question","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","GENERAL","general","0.619612663235188","1","0.67667076374991","MATH","0.46934933170263","0.20732143204728","ROUTED","ACCEPTED","True","True","828","请用通俗的方式说明为什么海水是咸的。","","localhost","4903d71f-4108-4ad2-8c4e-10db67a8a0c5","False","8e8f3b0f-9d19-4e6b-9701-f1cfeb2ffde9"
"2","GENERAL","GENERAL","general","0.699243614695027","1","0.744357072490773","CODING","0.505037307840298","0.239319764650475","ROUTED","ACCEPTED","True","True","731","人工智能和传统自动化程序最核心的区别是什么？","","localhost","20ac923e-da54-4a46-98ca-b9795c24302e","False","06299d8d-25ed-4cb1-95e1-18b293040a31"
"3","GENERAL","GENERAL","general","0.570293170444745","0","0.570293170444745","LITERARY","0.546538415402846","0.0237547550418999","ROUTED","ACCEPTED","True","True","900","比较纸质书与电子书各自的优缺点。","","localhost","745bfed6-a0c8-4908-90c6-d78c7894e0e9","False","7444b659-c3b4-4bf1-9ff4-25205e262e9d"
"4","GENERAL","GENERAL","general","0.493266295154827","1","0.569276350881603","DAILY","0.528326351403648","0.0409499994779551","ROUTED","ACCEPTED","True","True","693","为什么人在紧张时会感觉心跳加快？","","localhost","02324ecf-b54b-4824-b1a1-f82355ac92d9","False","473316a4-194c-4c6c-811e-a3084e2aad84"
"5","GENERAL","GENERAL","general","0.515213623890123","0","0.515213623890123","CODING","0.431188536542848","0.0840250873472745","ROUTED","ACCEPTED","True","True","627","请概括互联网从诞生到普及的大致过程。","","localhost","647899b8-84b2-4743-9f3f-8ef6e0c9f2e6","False","6f3d0ad1-c149-478f-894b-d14aed28e0f9"
"6","GENERAL","GENERAL","general","0.524109297608543","1","0.595492902967262","DAILY","0.524478464727002","0.07101443824026","ROUTED","ACCEPTED","True","True","751","如果要向小学生介绍区块链，你会怎么说？","","localhost","f8e8cb5c-c014-4276-9c31-ef79db98f7d1","False","d0d0ce76-5e0b-46d3-8487-b2a2ce2a879e"
"7","GENERAL","DAILY","general","0.584308362035829","0","0.584308362035829","GENERAL","0.515388455399337","0.0689199066364927","ROUTED","ACCEPTED","False","False","538","分析远程办公对个人生活可能产生的影响。","","localhost","4903d71f-4108-4ad2-8c4e-10db67a8a0c5","False","8e8f3b0f-9d19-4e6b-9701-f1cfeb2ffde9"
"8","GENERAL","GENERAL","general","0.550511697189586","0","0.550511697189586","DAILY","0.532289169037949","0.0182225281516378","REJECTED","AMBIGUOUS","True","False","529","如何判断一条网络信息是否值得相信？","","localhost","20ac923e-da54-4a46-98ca-b9795c24302e","False","06299d8d-25ed-4cb1-95e1-18b293040a31"
"9","GENERAL","GENERAL","general","0.450390234407023","1","0.53283169924597","LITERARY","0.435741916912122","0.0970897823338476","ROUTED","ACCEPTED","True","True","581","请用三句话总结可持续发展的含义。","","localhost","745bfed6-a0c8-4908-90c6-d78c7894e0e9","False","7444b659-c3b4-4bf1-9ff4-25205e262e9d"
"10","GENERAL","DAILY","general","0.488478974041675","0","0.488478974041675","GENERAL","0.483467069337402","0.00501190470427293","REJECTED","LOW_CONFIDENCE","False","False","666","初次参加正式面试时应该注意哪些基本礼仪？","","localhost","02324ecf-b54b-4824-b1a1-f82355ac92d9","False","473316a4-194c-4c6c-811e-a3084e2aad84"
